date_id;CO₂-Emissionsfaktor des Strommix;Strompreis
336;422.3602225;54.02
337;420.2910761;58.57
338;420.2754001;54.61
339;418.7665544;53.2
340;415.9207049;51.86
341;407.5191639;55.9
342;407.4511114;54.73
343;408.0046832;52.2
344;412.052129;49.8
345;410.4833764;50.88
346;411.5698287;52.37
347;413.9054371;52.8
348;417.1758037;52.5
349;416.0766382;48.6
350;418.715557;50.9
351;418.5904298;53
352;418.1138393;52.5
353;416.8467867;41.7
354;416.2957133;46.6
355;415.6675635;56.4
356;414.2687717;61.29
357;420.1113539;51.2
358;419.0795686;52.66
359;418.1123889;55.12
360;418.8973473;56.31
361;416.8354698;56.66
362;416.9005526;51.88
363;418.0705557;51.3
364;417.0142415;49.1
365;412.2466441;59.63
366;410.6772924;54.7
367;409.8784874;47.27
368;409.4241174;39.7
369;401.824994;61.87
370;401.8988059;50.82
371;404.377335;39
372;404.6694941;29.94
373;397.036655;52.09
374;392.1554407;47.38
375;387.1081177;38.03
376;385.2361275;26.6
377;391.8281309;57.4
378;389.3952978;47.69
379;384.5740472;31.3
380;382.6943058;17.62
381;366.7290206;53.93
382;361.8813166;42.51
383;357.9896715;26.27
384;356.2383472;6.97
385;337.9235279;48.05
386;331.9399612;38.07
387;331.4117258;24.56
388;332.1837196;10.02
389;322.5119954;39.63
390;322.3134729;30.8
391;323.7357372;21.8
392;323.6947098;15.3
393;318.8240515;32.83
394;317.9330805;25.8
395;317.6421116;24.58
396;316.435735;15.88
397;305.9300053;27.9
398;304.7296678;25
399;305.0339034;16.66
400;303.6858405;15.2
401;300.0044952;15.6
402;300.4891788;15.6
403;299.8929083;14.63
404;300.8935149;9.42
405;301.8074625;15.6
406;304.3217839;15.6
407;307.3522478;15.6
408;308.5563477;25.89
409;308.2837622;3.28
410;310.5665819;12.88
411;309.9596461;24.33
412;315.4064048;34.19
413;331.3475664;6.81
414;339.5416214;15.66
415;342.9406803;36
416;344.3225606;48.78
417;347.4098304;15.3
418;352.9042526;26.21
419;355.1712849;42.55
420;361.9121001;53.93
421;369.6047373;27.17
422;373.8078509;38.48
423;375.8251585;48.12
424;378.2860228;58.23
425;385.361337;35.31
426;391.635179;42.91
427;394.828017;51.7
428;394.8305898;58.25
429;397.0205748;40.93
430;397.8351952;46.75
431;397.233422;56.46
432;401.2034311;55.76
433;408.299642;49.16
434;410.2636684;48.19
435;410.6903421;52.66
436;413.8900686;53.96
437;417.1676586;49.52
438;422.1604815;50.14
439;424.1518989;49.74
440;425.6139379;50.6
441;424.2706587;48.28
442;427.0382766;46.95
443;429.9459386;51.44
444;431.3146639;52.1
445;434.4850281;44.48
446;437.8091084;47.39
447;429.3434558;53.69
448;429.2281488;53.23
449;434.2563494;37.88
450;435.754611;45.74
451;435.7995364;59
452;434.3804259;67.38
453;440.6752639;46.08
454;438.7117212;57.57
455;439.8966545;64.13
456;439.1869421;65.3
457;443.5834559;63.21
458;447.1019127;61.73
459;446.7453691;60.32
460;446.4301991;57.6
461;442.4971891;66.56
462;446.5629273;61.67
463;448.436695;56.09
464;452.438231;52.37
465;448.9689119;69.2
466;455.8120409;58.66
467;458.0613276;50.24
468;457.07124;42.88
469;451.5137955;56.9
470;450.0600044;52.58
471;452.2249087;49.21
472;451.9566919;47.65
473;453.6294686;60.49
474;454.1704529;55.47
475;458.102516;47.19
476;460.0697972;39.95
477;453.3816334;58.35
478;456.048729;52.53
479;458.868918;43.18
480;458.6250173;31.52
481;444.6896823;56.45
482;448.4163792;48.12
483;451.8344598;40.2
484;458.9001708;30.53
485;464.7742976;46.89
486;470.8152721;43.2
487;478.0344097;40.21
488;486.1435282;34.37
489;483.8020535;42.27
490;490.5071383;40.3
491;494.7392063;38.8
492;494.7011681;36
493;504.6549065;41.82
494;505.2279488;36.5
495;506.224554;34.9
496;509.9287;34.75
497;522.1304253;38.8
498;522.5075809;36.86
499;523.7407917;36.52
500;523.622611;35.56
501;513.323716;40.27
502;517.3404579;34.33
503;521.0266847;36.25
504;526.9546145;33.12
505;509.5988124;32.63
506;510.4852487;31.56
507;515.1383681;35.23
508;518.5703472;44.58
509;528.8998985;19.65
510;535.1280401;31.26
511;535.7474809;45.78
512;535.144746;57.44
513;539.3325404;29.8
514;537.6246337;38
515;532.9573049;48.46
516;533.0678854;55.7
517;539.3154249;40.3
518;542.1432176;47.88
519;542.6571201;53.19
520;541.599935;58.6
521;548.2106694;47.45
522;546.045083;51.65
523;543.3035165;55.71
524;540.8001706;60.4
525;544.4759558;48.69
526;547.2502135;56.1
